Question_Number,Review_Type,Category,Question_ID,Question,Description,Question_Type,Options,ASVS_Reference,OWASP_Reference,Risk_Level,Priority
DATABASE_REVIEW-MONGODB_SECURITY-001,Database Security Review,MongoDB Security,mongo_auth_1,Is authentication enabled and properly configured in MongoDB?,OWASP A07 (Identification and Authentication Failures) - Prevent unauthorized database access,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-002,Database Security Review,MongoDB Security,mongo_auth_2,"Are strong, unique passwords enforced for all MongoDB users?",Weak passwords are a primary attack vector against databases,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-003,Database Security Review,MongoDB Security,mongo_auth_3,Is role-based access control (RBAC) implemented with least privilege principle?,OWASP A01 (Broken Access Control) - Limit user permissions to minimum required,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-004,Database Security Review,MongoDB Security,mongo_network_1,Is network access to MongoDB restricted using IP whitelisting or VPN?,OWASP A05 (Security Misconfiguration) - Prevent unauthorized network access,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-005,Database Security Review,MongoDB Security,mongo_network_2,Is TLS/SSL encryption enabled for all MongoDB connections?,OWASP A02 (Cryptographic Failures) - Protect data in transit,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-006,Database Security Review,MongoDB Security,mongo_data_1,Is encryption at rest enabled for MongoDB data files?,OWASP A02 (Cryptographic Failures) - Protect sensitive data at rest,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-007,Database Security Review,MongoDB Security,mongo_audit_1,Is auditing enabled to log database access and operations?,OWASP A09 (Security Logging and Monitoring Failures) - Track database activities,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-008,Database Security Review,MongoDB Security,mongo_input_1,Are NoSQL injection attacks prevented through proper input validation?,OWASP A03 (Injection) - Prevent NoSQL injection vulnerabilities,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-009,Database Security Review,MongoDB Security,mongo_backup_1,Are regular encrypted backups performed and tested for recovery?,Ensure data availability and integrity against ransomware and data loss,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MONGODB_SECURITY-010,Database Security Review,MongoDB Security,mongo_config_1,Are MongoDB security configurations regularly reviewed and hardened?,OWASP A05 (Security Misconfiguration) - Maintain secure database configuration,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-001,Database Security Review,PostgreSQL Security,postgres_auth_1,Is PostgreSQL authentication properly configured using strong methods (scram-sha-256)?,OWASP A07 (Identification and Authentication Failures) - Use strong authentication mechanisms,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-002,Database Security Review,PostgreSQL Security,postgres_auth_2,Are database users created with minimal necessary privileges?,OWASP A01 (Broken Access Control) - Implement least privilege access control,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-003,Database Security Review,PostgreSQL Security,postgres_auth_3,Is the PostgreSQL superuser account properly secured and access restricted?,Prevent unauthorized access to administrative functions,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-004,Database Security Review,PostgreSQL Security,postgres_network_1,Is PostgreSQL configured to listen only on required network interfaces?,OWASP A05 (Security Misconfiguration) - Limit network exposure,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-005,Database Security Review,PostgreSQL Security,postgres_network_2,Is SSL/TLS encryption enforced for all PostgreSQL connections?,OWASP A02 (Cryptographic Failures) - Protect data transmission,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-006,Database Security Review,PostgreSQL Security,postgres_data_1,Is transparent data encryption (TDE) or file system encryption implemented?,OWASP A02 (Cryptographic Failures) - Protect data at rest,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-007,Database Security Review,PostgreSQL Security,postgres_audit_1,Is PostgreSQL logging configured to capture security-relevant events?,OWASP A09 (Security Logging and Monitoring Failures) - Enable security monitoring,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-008,Database Security Review,PostgreSQL Security,postgres_injection_1,Are prepared statements and parameterized queries used consistently?,OWASP A03 (Injection) - Prevent SQL injection attacks,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-009,Database Security Review,PostgreSQL Security,postgres_backup_1,"Are automated, encrypted backups performed with tested recovery procedures?",Ensure data availability and business continuity,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-POSTGRESQL_SECURITY-010,Database Security Review,PostgreSQL Security,postgres_config_1,Are PostgreSQL security settings regularly reviewed against security benchmarks?,OWASP A05 (Security Misconfiguration) - Maintain secure configuration baseline,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-001,Database Security Review,MySQL Security,mysql_auth_1,Is MySQL authentication configured with strong password validation?,ASVS V2.1 - Enforce strong password policies for database access,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-002,Database Security Review,MySQL Security,mysql_auth_2,Are MySQL user accounts created with specific host restrictions?,ASVS V1.1 - Limit user access by host/network for least privilege,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-003,Database Security Review,MySQL Security,mysql_auth_3,Is the MySQL root account properly secured with password and host restrictions?,Prevent unauthorized administrative access to MySQL,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-004,Database Security Review,MySQL Security,mysql_network_1,Is MySQL configured to bind only to required network interfaces?,ASVS V1.4 - Minimize network attack surface,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-005,Database Security Review,MySQL Security,mysql_network_2,Is SSL/TLS encryption enforced for all MySQL client connections?,ASVS V3.1 - Secure data in transit,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-006,Database Security Review,MySQL Security,mysql_data_1,Is MySQL data encryption at rest implemented using InnoDB encryption?,ASVS V3.1 - Protect stored data with encryption,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-007,Database Security Review,MySQL Security,mysql_audit_1,Is MySQL audit logging enabled to track database access and changes?,ASVS V8.1 - Monitor database activities for security,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-008,Database Security Review,MySQL Security,mysql_injection_1,Are prepared statements used to prevent SQL injection attacks?,ASVS V5.1 - Prevent SQL injection vulnerabilities,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-009,Database Security Review,MySQL Security,mysql_backup_1,"Are MySQL backups automated, encrypted, and regularly tested?",Ensure data recovery capabilities and business continuity,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-MYSQL_SECURITY-010,Database Security Review,MySQL Security,mysql_config_1,Are MySQL security configurations reviewed against CIS benchmarks?,ASVS V1.4 - Follow security hardening guidelines,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-SQLSERVER_SECURITY-001,Database Security Review,SQL Server Security,sqlserver_auth_1,Is SQL Server authentication configured with Windows Authentication mode?,Windows Authentication provides stronger security than SQL Server authentication,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-SQLSERVER_SECURITY-002,Database Security Review,SQL Server Security,sqlserver_auth_2,Are SQL Server logins configured with strong password policies?,Strong password policies prevent brute force attacks,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-SQLSERVER_SECURITY-003,Database Security Review,SQL Server Security,sqlserver_network_1,Is SQL Server configured to use encrypted connections (TLS)?,Encrypted connections protect data in transit,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-SQLSERVER_SECURITY-004,Database Security Review,SQL Server Security,sqlserver_data_1,Is Transparent Data Encryption (TDE) enabled for SQL Server databases?,TDE provides encryption at rest for database files,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-SQLSERVER_SECURITY-005,Database Security Review,SQL Server Security,sqlserver_audit_1,Is SQL Server audit logging enabled for security events?,Audit logging helps detect unauthorized access and changes,radio,"yes, na, no",,,Medium,Medium
DATABASE_REVIEW-ORACLE_SECURITY-001,Database Security Review,Oracle Database Security,oracle_auth_1,Is Oracle database configured with strong password policies?,Strong password policies prevent unauthorized access,radio,"yes, na, no",,,Medium,Medium
