Question_Number,Review_Type,Category,Question_ID,Question,Description,Question_Type,Options,ASVS_Reference,OWASP_Reference,Risk_Level,Priority
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-001,Infrastructure Security Review,Container Security - ASVS V1.4,container_1,Are container images scanned for vulnerabilities before deployment?,Vulnerability scanning prevents deployment of containers with known security issues,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-002,Infrastructure Security Review,Container Security - ASVS V1.4,container_2,Are containers running with non-root users and minimal privileges?,Principle of least privilege reduces attack surface and potential damage,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-003,Infrastructure Security Review,Container Security - ASVS V1.4,container_3,Are container images built from minimal base images (distroless/alpine)?,Minimal base images reduce attack surface and potential vulnerabilities,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-004,Infrastructure Security Review,Container Security - ASVS V1.4,container_4,Are container secrets managed securely (not hardcoded in images)?,Secure secret management prevents credential exposure in container images,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-005,Infrastructure Security Review,Container Security - ASVS V1.4,container_5,Are container resource limits configured to prevent resource exhaustion?,Resource limits prevent DoS attacks through resource exhaustion,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-006,Infrastructure Security Review,Container Security - ASVS V1.4,container_6,Are container images signed and verified before deployment?,Image signing ensures container integrity and prevents tampering,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-007,Infrastructure Security Review,Container Security - ASVS V1.4,container_7,"Are container runtime security policies enforced (seccomp, AppArmor, SELinux)?",Runtime security policies provide additional isolation and protection,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-CONTAINER_SECURITY-008,Infrastructure Security Review,Container Security - ASVS V1.4,container_8,Are container networks properly segmented and isolated?,Network segmentation prevents lateral movement and unauthorized access,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-001,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_1,Is RBAC (Role-Based Access Control) properly configured in Kubernetes?,RBAC ensures users and services have appropriate permissions,radio,"yes, na, no",,,Medium,Medium
INFRASTRUCTURE_REVIEW-ORCHESTRATION_SECURITY-002,Infrastructure Security Review,Orchestration Security - ASVS V1.4,k8s_2,Are Kubernetes secrets encrypted at rest and in transit?,Secret encryption protects sensitive data from unauthorized access,radio,"yes, na, no",,,Medium,Medium
