Question_Number,Review_Type,Category,Question_ID,Question,Description,Question_Type,Options,ASVS_Reference,OWASP_Reference,Risk_Level,Priority
APPLICATION_REVIEW-INPUT_VALIDATION-001,Application Security Review,Input Validation & Data Sanitization - ASVS V5.1,input_1,How does your application validate and sanitize all user input on both client and server side?,"Comprehensive input validation prevents injection attacks (SQL, XSS, XXE, NoSQL, LDAP, etc.)",radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-INPUT_VALIDATION-002,Application Security Review,Input Validation & Data Sanitization - ASVS V5.1,input_2,Are parameterized queries or prepared statements used for all database interactions?,Prevents SQL injection by separating SQL code from data - critical for applications using databases,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-INPUT_VALIDATION-003,Application Security Review,Input Validation & Data Sanitization - ASVS V5.1,input_3,Is output encoding implemented to prevent XSS attacks in all user-facing content?,Proper output encoding prevents Cross-Site Scripting vulnerabilities in web applications,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-INPUT_VALIDATION-004,Application Security Review,Input Validation & Data Sanitization - ASVS V5.1,input_4,"Are file upload functionalities secured with comprehensive validation (type, size, content)?","File upload validation prevents malware, code execution, and storage exhaustion attacks",radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-INPUT_VALIDATION-005,Application Security Review,Input Validation & Data Sanitization - ASVS V5.1,input_5,Is input length validation implemented to prevent buffer overflow and DoS attacks?,"Length validation prevents memory corruption, system crashes, and resource exhaustion",radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-INPUT_VALIDATION-006,Application Security Review,Input Validation & Data Sanitization - ASVS V5.1,input_6,Are special characters and control sequences properly escaped in user input?,Proper escaping prevents command injection and data corruption attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-INPUT_VALIDATION-007,Application Security Review,Input Validation & Data Sanitization - ASVS V5.1,input_7,Is input validation performed using allowlists rather than blocklists?,Allowlist validation is more secure and prevents bypass techniques,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHENTICATION-001,Application Security Review,Authentication & Identity Management - ASVS V2.1,auth_1,How does your application implement secure user authentication mechanisms?,Strong authentication mechanisms prevent unauthorized access to application features,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHENTICATION-002,Application Security Review,Authentication & Identity Management - ASVS V2.1,auth_2,Is multi-factor authentication (MFA) implemented for all user accounts?,MFA provides additional security layer beyond passwords for all users,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHENTICATION-003,Application Security Review,Authentication & Identity Management - ASVS V2.1,auth_3,"Are strong password policies enforced (complexity, length, rotation, history)?",Comprehensive password policies reduce brute force attack success,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHENTICATION-004,Application Security Review,Authentication & Identity Management - ASVS V2.1,auth_4,Is account lockout protection implemented against brute force attacks?,Account lockout prevents automated password guessing attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHENTICATION-005,Application Security Review,Authentication & Identity Management - ASVS V2.1,auth_5,"Are authentication tokens securely generated, stored, and managed?",Secure token management prevents session hijacking and replay attacks,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHENTICATION-006,Application Security Review,Authentication & Identity Management - ASVS V2.1,auth_6,Is password recovery implemented securely without information disclosure?,Secure password recovery prevents account takeover through information leakage,radio,"yes, na, no",,,Medium,Medium
APPLICATION_REVIEW-AUTHENTICATION-007,Application Security Review,Authentication & Identity Management - ASVS V2.1,auth_7,Are authentication attempts logged and monitored for suspicious activity?,Authentication monitoring helps detect brute force and credential stuffing attacks,radio,"yes, na, no",,,Medium,Medium
